RUN_ID,SIM_ID,PROTOCOL_ID,DEND_RM,DEND_RA,DEND_CM,DEND_L,SPACER_L,SPACER_RM,SPACER_RA,SPACER_CM,AIS_RM,RHEOBASE
1,1,1,3571.428571428571,80.0,1.0,1371.0,3.0,3571.428571428571,80.0,1.0,3571.428571428571,0.051500000000000004
1,1,1,3571.428571428571,80.0,1.0,1371.0,5.0,3571.428571428571,80.0,1.0,3571.428571428571,0.051500000000000004
1,1,1,3571.428571428571,80.0,1.0,1371.0,10.0,3571.428571428571,80.0,1.0,3571.428571428571,0.051500000000000004
1,1,1,3571.428571428571,80.0,1.0,1371.0,20.0,3571.428571428571,80.0,1.0,3571.428571428571,0.051500000000000004
1,1,1,3571.428571428571,80.0,1.0,1371.0,30.0,3571.428571428571,80.0,1.0,3571.428571428571,0.051500000000000004
1,1,1,3571.428571428571,80.0,1.0,1371.0,40.0,3571.428571428571,80.0,1.0,3571.428571428571,0.051500000000000004
1,1,1,3571.428571428571,80.0,1.0,1371.0,50.0,3571.428571428571,80.0,1.0,3571.428571428571,0.051500000000000004
1,1,1,3571.428571428571,80.0,1.0,1371.0,70.0,3571.428571428571,80.0,1.0,3571.428571428571,0.052000000000000005
1,1,1,3571.428571428571,80.0,1.0,1371.0,90.0,3571.428571428571,80.0,1.0,3571.428571428571,0.053
1,1,1,3571.428571428571,80.0,1.0,1371.0,100.0,3571.428571428571,80.0,1.0,3571.428571428571,0.0535
1,1,1,90909.0909090909,80.0,1.0,1371.0,2.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,3.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,5.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,10.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,20.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,30.0,90909.0909090909,80.0,1.0,90909.0909090909,0.005000000000000001
1,1,1,90909.0909090909,80.0,1.0,1371.0,40.0,90909.0909090909,80.0,1.0,90909.0909090909,0.005000000000000001
1,1,1,90909.0909090909,80.0,1.0,1371.0,50.0,90909.0909090909,80.0,1.0,90909.0909090909,0.005000000000000001
1,1,1,90909.0909090909,80.0,1.0,1371.0,70.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0045000000000000005
1,1,1,90909.0909090909,80.0,1.0,1371.0,90.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0045000000000000005
1,1,1,90909.0909090909,80.0,1.0,1371.0,100.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0045000000000000005
1,1,1,90909.0909090909,80.0,1.0,1371.0,150.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0165
1,1,1,90909.0909090909,80.0,1.0,1371.0,2.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,3.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,5.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,10.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,20.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0055
1,1,1,90909.0909090909,80.0,1.0,1371.0,30.0,90909.0909090909,80.0,1.0,90909.0909090909,0.005000000000000001
1,1,1,90909.0909090909,80.0,1.0,1371.0,40.0,90909.0909090909,80.0,1.0,90909.0909090909,0.005000000000000001
1,1,1,90909.0909090909,80.0,1.0,1371.0,50.0,90909.0909090909,80.0,1.0,90909.0909090909,0.005000000000000001
1,1,1,90909.0909090909,80.0,1.0,1371.0,70.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0045000000000000005
1,1,1,90909.0909090909,80.0,1.0,1371.0,90.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0045000000000000005
1,1,1,90909.0909090909,80.0,1.0,1371.0,100.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0045000000000000005
1,1,1,90909.0909090909,80.0,1.0,1371.0,150.0,90909.0909090909,80.0,1.0,90909.0909090909,0.0165
